"Number","Date","Event","Location","Oath Administered by[28]","Document Sworn On","Inaugural Addresses","Notes[29]"
"1st","April 30, 1789","First inauguration of George Washington","Balcony of Federal Hall New York, New York","Robert LivingstonChancellor of New York","Washington Bible opened at random to Genesis 49:13 due to haste.[30]","George Washington's First Inaugural Address","First President of the United States following the ratification of the Constitution."
"2nd","March 4, 1793","Second inauguration of George Washington","Senate ChamberCongress HallPhiladelphia, Pennsylvania","William CushingAssociate Justice of the Supreme Court of the United States","Unknown[31]","George Washington's Second Inaugural Address","Shortest inaugural address (135 words)."
"3rd","March 4, 1797","Inauguration of John Adams","House Chamber Congress Hall Philadelphia, Pennsylvania","Oliver Ellsworth","Unknown[31]","John Adams' Inaugural Address","First oath administered by the Chief Justice."
"4th","March 4, 1801","First inauguration of Thomas Jefferson","Senate Chamber, U.S. Capitol","John Marshall","Unknown[31]","Thomas Jefferson's First Inaugural Address","First time Marine Band played (done in every inauguration since); First time address printed on the morning of the inauguration (the National Intelligencer); First inauguration not attended by outgoing president; First to walk to and from swearing-in ceremony (instead of carriage)."
"5th","March 4, 1805","Second inauguration of Thomas Jefferson","Senate Chamber, U.S. Capitol","John Marshall","Unknown[31]","Thomas Jefferson's Second Inaugural Address",""
"6th","March 4, 1809","First inauguration of James Madison","House Chamber, U.S. Capitol","John Marshall","Unknown[31]","James Madison's First Inaugural Address",""
"7th","March 4, 1813","Second inauguration of James Madison","House Chamber, U.S. Capitol","John Marshall","Unknown[31]","James Madison's Second Inaugural Address","First Inaugural Ball (Long's Hotel, tickets $4)."
"8th","March 4, 1817","First inauguration of James Monroe","In front of Old Brick Capitol","John Marshall","Unknown[31]","James Monroe's First Inaugural Address","First oath and inauguration held outdoors."
"9th","March 5, 1821","Second inauguration of James Monroe","House Chamber, U.S. Capitol","John Marshall","Unknown[31]","James Monroe's Second Inaugural Address","First inauguration to fall on a Sunday - switched to Monday."
"10th","March 4, 1825","Inauguration of John Quincy Adams","House Chamber, U.S. Capitol","John Marshall","A book of US law[32]","John Quincy Adams's Inaugural Address","First president to wear long trousers instead of knee breeches."
"11th","March 4, 1829","First inauguration of Andrew Jackson","East Portico, U.S. Capitol","John Marshall","Unknown[31]","Andrew Jackson's First Inaugural Address","Second inauguration not attended by outgoing president."
"12th","March 4, 1833","Second inauguration of Andrew Jackson","House Chamber, U.S. Capitol","John Marshall","Unknown[31]","Andrew Jackson's Second Inaugural Address","Last oath administered by Marshall (nine total, from Adams to Jackson); First time two Inaugural balls were held (Carusi's and Central Masonic Hall)."
"13th","March 4, 1837","Inauguration of Martin Van Buren","East Portico, U.S. Capitol","Roger B. Taney","Bible open to Proverbs 3:17[31][33]","Martin Van Buren's Inaugural Address","First president not born a British subject; First time President & President-elect rode to the Capitol together for inauguration."
"14th","March 4, 1841","Inauguration of William Henry Harrison","East Portico, U.S. Capitol","Roger B. Taney","Unknown[31]","William Henry Harrison's Inaugural Address","First president to arrive in Washington, D.C. by train; First official inaugural planning committee; Longest Inaugural address (8,445 words)"
"","April 6, 1841","Inauguration of John Tyler(Extraordinary inauguration)","Brown’s Indian Queen Hotel in Washington, D.C.","William Cranch","","John Tyler's Inaugural Address","First of eight Vice Presidents to assume Presidency upon the death of the President."
"15th","March 4, 1845","Inauguration of James K. Polk","East Portico, U.S. Capitol","Roger B. Taney","Unknown","James K. Polk's Inaugural Address","First Inauguration covered by telegraph; First inauguration known to be illustrated in a newspaper (Illustrated London News)."
"16th","March 5, 1849","Inauguration of Zachary Taylor","East Portico, U.S. Capitol","Roger B. Taney","Unknown","Zachary Taylor's Inaugural Address","Second case of rescheduling from Sunday to Monday; Three inaugural balls held."
"","July 10, 1850","Inauguration of Millard Fillmore(Extraordinary inauguration)","House Chamber, U.S. Capitol","William Cranch","","Millard Fillmore's Inaugural Address","Second of eight Vice Presidents to assume Presidency upon the death of the President"
"17th","March 4, 1853","Inauguration of Franklin Pierce","East Portico, U.S. Capitol","Roger B. Taney","Law book[31][34]","Franklin Pierce's Inaugural Address","Oath affirmed (not sworn); First speech recited entirely from memory; Inaugural ball cancelled; Vice President ill and sworn in while in Cuba."
"18th","March 4, 1857","Inauguration of James Buchanan","East Portico, U.S. Capitol","Roger B. Taney","Unknown[31]","James Buchanan's Inaugural Address","First inauguration known to have been photographed."
"19th","March 4, 1861","First inauguration of Abraham Lincoln","East Portico, U.S. Capitol","Roger B. Taney","Lincoln Bible opened at random[31]","Abraham Lincoln's First Inaugural Address","Procession surrounded by heavily armed cavalry and infantry (war imminent)."
"20th","March 4, 1865","Second inauguration of Abraham Lincoln","East Portico, U.S. Capitol","Salmon P. Chase","Bible open to Matthew 7:1, Matthew 18:7, Revelation 16:7[35]","Abraham Lincoln's Second Inaugural Address","Blacks participated in parade for the first time."
"","April 15, 1865","Inauguration of Andrew Johnson(Extraordinary inauguration)","Kirkwood House Hotel, Washington, DC","Salmon P. Chase","","","Third of eight Vice Presidents to assume Presidency upon the death of the President."
"21st","March 4, 1869","First inauguration of Ulysses S. Grant","East Portico, U.S. Capitol","Salmon P. Chase","Unknown[31]","Ulysses S. Grant's First Inaugural Address","Third inauguration not attended by outgoing president (Johnson remained at White House signing last-minute legislation)."
"22nd","March 4, 1873","Second inauguration of Ulysses S. Grant","East Portico, U.S. Capitol","Salmon P. Chase","Bible open to Isaiah 11:1-3[36]","Ulysses S. Grant's Second Inaugural Address","Coldest March inauguration (16 °F at noon)."
"23rd","March 5, 1877","Inauguration of Rutherford B. Hayes","East Portico, U.S. Capitol","Morrison R. Waite","Bible open to Psalms 118:11-13[36]","Rutherford B. Hayes's Inaugural Address","Third inauguration to fall on a Sunday - switched to Monday."
"24th","March 4, 1881","Inauguration of James A. Garfield","East Portico, U.S. Capitol","Morrison R. Waite","Bible open to Proverbs 21:1[36][37]","James A. Garfield's Inaugural Address","First president to review the inaugural parade from a stand built in front of the White House."
"","September 20, 1881","Inauguration of Chester A. Arthur(Extraordinary inauguration)","Arthur's home 123 Lexington Avenue, New York, NY[38]","John R. Brady","","","Fourth of eight Vice Presidents to assume Presidency upon the death of the President."
"25th","March 4, 1885","First inauguration of Grover Cleveland","East Portico, U.S. Capitol","Morrison R. Waite","Bible opened at random by Chief Justice to Psalms 112:4-10[39]","Grover Cleveland's First Inaugural Address",""
"26th","March 4, 1889","Inauguration of Benjamin Harrison","East Portico, U.S. Capitol","Melville W. Fuller","Bible open to Psalms 121:1-6[36]","Benjamin Harrison's Inaugural Address",""
"27th","March 4, 1893","Second inauguration of Grover Cleveland","East Portico, U.S. Capitol","Melville W. Fuller","Bible open to Psalms 91:12-16","Grover Cleveland's Second Inaugural Address",""
