"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM… https://t.co/OSxa3BamHs",FALSE,75675,NA,2017-01-20 00:40:51,TRUE,NA,"822242449053614081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18439,FALSE,FALSE,NA,NA
"2","Join me at 4pm over at the Lincoln Memorial with my family!
#Inauguration2017 https://t.co/GQeQpJOgWz",FALSE,43112,NA,2017-01-19 20:21:36,FALSE,NA,"822177206633955328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9369,FALSE,FALSE,NA,NA
"3","Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!",FALSE,44351,NA,2017-01-19 20:18:32,FALSE,NA,"822176438627536897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",6715,FALSE,FALSE,NA,NA
"4","On my way! #Inauguration2017 https://t.co/hOuMbxGnpe",FALSE,39443,NA,2017-01-19 20:13:57,FALSE,NA,"822175285151928320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7206,FALSE,FALSE,NA,NA
"5","the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",FALSE,128646,NA,2017-01-19 13:02:18,FALSE,NA,"822066653953458177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",32578,FALSE,FALSE,NA,NA
"6","Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",FALSE,125962,NA,2017-01-19 13:00:13,FALSE,NA,"822066132307808256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23847,FALSE,FALSE,NA,NA
"7","""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",FALSE,97064,NA,2017-01-19 12:52:22,FALSE,NA,"822064153426857984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23078,FALSE,FALSE,NA,NA
"8","Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD",FALSE,70039,NA,2017-01-19 04:01:40,TRUE,NA,"821930600290521089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14969,FALSE,FALSE,NA,NA
"9","Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT",FALSE,54202,NA,2017-01-19 01:54:13,FALSE,NA,"821898525432811520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9197,FALSE,FALSE,NA,NA
"10","Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",FALSE,123338,NA,2017-01-18 22:21:02,FALSE,NA,"821844875268255744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDonaldTrump",20411,FALSE,FALSE,NA,NA
